date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:40:14	54606/54606	---M-Z	200	added ('OK')	text/html	etag:%22d54e-52c6ab60cc900-gzip%22	http://demo.deviserweb.com/material-portfolio-cv-resume/	C:/xampp/htdocs/series/CV/CV/demo.deviserweb.com/material-portfolio-cv-resume/index.html	(from )
04:40:14	65/65	---M--	200	added ('OK')	text/plain	etag:%2254f9e988-41%22	http://demo.deviserweb.com/robots.txt		(from )
04:40:15	245/245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2023:10:12%20GMT	http://demo.deviserweb.com/material-portfolio-cv-resume/images/favicon.ico	C:/xampp/htdocs/series/CV/CV/demo.deviserweb.com/material-portfolio-cv-resume/images/favicon.ico	(from http://demo.deviserweb.com/material-portfolio-cv-resume/)
04:40:15	254/254	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2023:10:12%20GMT	http://demo.deviserweb.com/material-portfolio-cv-resume/images/apple-icon-72x72.png	C:/xampp/htdocs/series/CV/CV/demo.deviserweb.com/material-portfolio-cv-resume/images/apple-icon-72x72.png	(from http://demo.deviserweb.com/material-portfolio-cv-resume/)
04:40:16	254/254	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2023:10:13%20GMT	http://demo.deviserweb.com/material-portfolio-cv-resume/images/apple-icon-76x76.png	C:/xampp/htdocs/series/CV/CV/demo.deviserweb.com/material-portfolio-cv-resume/images/apple-icon-76x76.png	(from http://demo.deviserweb.com/material-portfolio-cv-resume/)
04:40:16	256/256	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2023:10:13%20GMT	http://demo.deviserweb.com/material-portfolio-cv-resume/images/apple-icon-114x114.png	C:/xampp/htdocs/series/CV/CV/demo.deviserweb.com/material-portfolio-cv-resume/images/apple-icon-114x114.png	(from http://demo.deviserweb.com/material-portfolio-cv-resume/)
04:40:17	145260/145260	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2020:05:58%20GMT	https://cdnjs.cloudflare.com/ajax/libs/materialize/0.97.0/css/materialize.min.css	C:/xampp/htdocs/series/CV/CV/cdnjs.cloudflare.com/ajax/libs/materialize/0.97.0/css/materialize.min.css	(from http://demo.deviserweb.com/material-portfolio-cv-resume/)
04:40:19	15118/15118	---MCZ	200	added ('OK')	text/css	etag:W/%2256b75084-3b0e%22	http://demo.deviserweb.com/material-portfolio-cv-resume/assets/css/timeline.css	C:/xampp/htdocs/series/CV/CV/demo.deviserweb.com/material-portfolio-cv-resume/assets/css/timeline.css	(from http://demo.deviserweb.com/material-portfolio-cv-resume/)
04:40:19	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%220831cba6a670e405168b84aa20798347%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/xampp/htdocs/series/CV/CV/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://demo.deviserweb.com/material-portfolio-cv-resume/)
04:40:19	68348/68348	---MCZ	200	added ('OK')	text/css	etag:W/%2256b75079-10afc%22	http://demo.deviserweb.com/material-portfolio-cv-resume/assets/css/animate.css	C:/xampp/htdocs/series/CV/CV/demo.deviserweb.com/material-portfolio-cv-resume/assets/css/animate.css	(from http://demo.deviserweb.com/material-portfolio-cv-resume/)
